74,Chrome,Windows10,34:28.7,2
75,Chrome,Windows10,34:29.9,2
76,Chrome,Windows10,34:32.4,2
77,Chrome,Windows10,34:33.5,2
78,Chrome,Windows10,34:34.5,2
79,Chrome,Windows10,34:35.5,2
80,Chrome,Windows10,34:36.3,2
81,Chrome,Windows10,41:27.1,2
82,Chrome,Windows10,46:35.5,2
83,Chrome,Windows10,47:08.6,2
84,Chrome,Windows10,48:08.7,1
85,Safari,iPhone,52:45.8,1
86,Safari,iPhone,53:08.1,1
87,Safari,iPhone,03:11.4,1
90,Chrome,Windows10,10:02.4,2
91,Safari,iPhone,14:38.5,1
92,Chrome,Windows10,11:42.7,1
93,Safari,iPhone,09:52.0,1
94,Safari,iPhone,41:17.9,3
95,Chrome,Windows10,44:01.2,1
96,Chrome,Windows10,56:51.5,3
97,Safari,iPhone,02:13.9,1
9,Edge,Windows10,43:15.9,2
12,Edge,Windows10,08:55.2,2
17,Edge,Windows10,01:05.2,2
18,Edge,Windows10,04:53.2,2
20,Edge,Windows10,12:46.2,2
98,Chrome,Windows10,45:12.6,5
99,Chrome,Windows10,00:10.8,6
100,Chrome,Windows10,16:41.7,2
101,Chrome,Windows10,21:16.0,2
102,Chrome,Windows10,22:39.5,3
105,Chrome,Windows10,03:37.7,3
108,Chrome,Windows10,08:25.3,2
109,Chrome,Windows10,11:42.8,2
110,Chrome,Windows10,13:50.6,4
111,Chrome,Windows10,21:21.7,1
113,Chrome,Windows10,21:54.7,3
114,Chrome,Windows10,22:29.8,2
115,Safari,iPhone,33:27.5,1
116,Safari,iPhone,46:35.8,1
117,Chrome,Windows10,48:57.5,3
118,Chrome,Windows10,50:20.8,3
119,Safari,iPhone,53:05.7,1
120,Chrome,Windows10,13:52.0,2
121,Chrome,Windows10,14:03.9,2
122,Chrome,Windows10,14:43.3,3
123,Chrome,Windows10,17:26.9,2
124,Chrome,Windows10,18:18.9,2
125,Chrome,Windows10,18:25.0,7
126,Chrome,Windows10,20:10.9,7
127,Chrome,android,20:57.0,7
128,Chrome,android,22:24.4,7
129,Chrome,android,23:53.1,7
130,Chrome,Windows10,29:50.1,4
131,Chrome,android,33:00.7,7
132,Chrome,android,34:09.2,7
133,Chrome,Windows10,36:05.4,4
134,Chrome,Windows10,44:32.6,2
135,Safari,iPhone,45:55.4,1
136,Chrome,Windows10,46:38.6,3
137,Chrome,Windows10,46:41.7,2
138,Safari,iPhone,46:56.8,1
139,Chrome,Windows10,47:36.5,3
140,Chrome,Windows10,48:40.0,3
141,Chrome,Windows10,48:49.8,3
142,Chrome,Windows10,50:06.4,3
143,Chrome,Windows10,57:55.2,2
144,Chrome,Windows10,00:17.3,2
145,Chrome,Windows10,04:39.4,2
146,Chrome,Windows10,06:16.3,2
147,Chrome,Windows10,07:40.0,3
148,Chrome,Windows10,08:36.5,2
149,Chrome,Windows10,11:30.9,2
150,Chrome,Windows10,14:03.0,3
151,Chrome,Windows10,19:09.3,2
152,Chrome,Windows10,20:24.1,3
153,Chrome,Windows10,20:29.0,3
154,Chrome,Windows10,23:10.3,3
155,Chrome,Windows10,25:14.2,3
156,Chrome,Windows10,40:31.9,3
157,Chrome,Windows10,40:37.9,3
158,Chrome,Windows10,41:30.3,2
159,Safari,iPhone,41:57.3,1
160,Safari,iPhone,42:16.2,1
161,Chrome,Windows10,42:15.2,3
162,Chrome,Windows10,42:23.2,3
163,Chrome,Windows10,42:29.2,1
164,Chrome,Windows10,43:31.8,3
165,Chrome,Windows10,43:40.9,3
166,Chrome,Windows10,46:56.5,2
167,Chrome,Windows10,47:25.6,3
168,Chrome,Windows10,49:41.7,3
169,Chrome,Windows10,50:45.6,3
170,Chrome,Windows10,56:02.6,1
172,Chrome,Windows10,03:25.5,3
173,Chrome,Windows10,08:54.5,3
174,Chrome,Windows10,09:05.0,3
175,Chrome,Windows10,09:27.4,3
176,Chrome,Windows10,09:35.3,3
177,Chrome,Windows10,09:54.7,3
178,Chrome,Windows10,11:13.7,3
179,Chrome,Windows10,14:50.3,3
